Time (days),Sucrose input (mol of sucrose),Final deficit in sucrose of the whole root system (mol of sucrose),Cumulated amount of C present in the root-soil system (mol of C),Cumulated amount of C that has been respired by roots (mol of C),Cumulated amount of C that has been degraded in the soil (mol of C),Root structural mass (g),Root necromass (g),Root length (m),Root surface (m2),Total root hairs mass (g),Total living root hairs surface (m2),Sucrose in the root (mol of sucrose),Hexose in the mobile pool of the roots (mol of hexose),Hexose in the reserve pool of the roots (mol of hexose),Hexose in the soil (mol of hexose),Mucilage in the soil (mol of hexose),Cells in the soil (mol of equivalent-hexose),Deficit of sucrose in the root (mol of sucrose),Deficit of hexose in the mobile pool of the roots (mol of hexose),Deficit of hexose in the soil (mol of hexose),Deficit of mucilage in the soil (mol of hexose),Deficit of cells in the soil (mol of hexose),CO2 originating from root growth (mol of C),CO2 originating from root maintenance (mol of C),Structural mass produced (g),Hexose unloaded from phloem (mol of hexose),Sucrose reloaded in the phloem (mol of hexose),Hexose mobilized from reserve (mol of hexose),Hexose stored as reserve (mol of hexose),Hexose emitted in the soil (mol of hexose),Hexose taken up from the soil (mol of hexose),Mucilage secreted in the soil (mol of hexose),Cells release in the soil (mol of equivalent-hexose),Total rhizodeposition (mol of hexose),Hexose degraded in the soil (mol of hexose),Mucilage degraded in the soil (mol of hexose),Cells degraded in the soil (mol of equivalent-hexose),Concentration of hexose in the main root tip (mol of hexose per g),Soil temperature (degree Celsius)
10.0,8.64e-06,0.008174669691065214,-0.08623074788156558,0.00048280553184465626,0.0001299917555506065,0.019592305961054907,0.0,0.5368356001527095,0.0010301814849277022,0.0003650160214245623,8.37091941205849e-06,0.0,0.0019146985153907143,0.0,2.598053126145103e-07,0.0,1.6418952976026568e-14,0.008174669691065214,4.647436403013572e-05,5.225264055265921e-06,5.341595316559559e-06,9.487743371184509e-11,0.0,3.43649749685113e-05,0.0,0.0,0.0,0.0,0.0,7.359137630990651e-07,4.3120388619762536e-08,1.4631341077191982e-08,1.23183511074303e-12,0.0,6.776422736614465e-07,0.0,1.6929591928104156e-13,-1.0,20
11.0,8.64e-06,0.009196489487792187,-0.09853092832890366,0.0005171580099312443,0.00013397469720234778,0.019592305961054907,0.0,0.5368356001527095,0.0010301814849277022,0.0003650160214245623,7.119005214399296e-06,0.0,0.0019082673770569568,0.0,2.628391231352807e-07,0.0,3.1999521291523964e-14,0.009196489487792187,4.647436526197084e-05,5.202269841213829e-06,5.326966055092999e-06,9.371586067532242e-11,0.0,3.435247808658807e-05,0.0,0.0,0.0,0.0,0.0,7.330672264470605e-07,4.1971168588473294e-08,1.4629261466560007e-08,1.2318351107445288e-12,0.0,6.638235402619617e-07,0.0,6.836158480009502e-14,-1.0,20
12.0,8.64e-06,0.010218308667727001,-0.1108310740864947,0.0005514967503642007,0.00013794415346852964,0.019592305961054907,0.0,0.5368356001527095,0.0010301814849277022,0.0003650160214245623,6.192934681127378e-06,0.0,0.0019018414772633725,0.0,2.578422288831896e-07,0.0,0.0,0.010218308667727001,4.647436649380593e-05,5.171933023000142e-06,5.3123390881083875e-06,9.261160149642623e-11,0.0,3.43387404329565e-05,0.0,0.0,0.0,0.0,0.0,7.30218189535428e-07,4.2068768427123414e-08,1.462696698461106e-08,1.2318351107443333e-12,0.0,6.615759128305767e-07,0.0,1.3153306689673248e-13,-1.0,20
13.0,8.64e-06,0.01124012724048991,-0.12313115179110869,0.0005858203058078035,0.00014186814927235407,0.019592305961054907,0.0,0.5368356001527095,0.0010301814849277022,0.0003650160214245623,5.480115954475014e-06,0.0,0.0018954203582968296,0.0,2.618261472351272e-07,0.0,1.0273098843078156e-12,0.01124012724048991,4.647436772564105e-05,5.14522861346083e-06,5.297714667837455e-06,9.143186843932147e-11,0.0,3.432355544360273e-05,0.0,0.0,0.0,0.0,0.0,7.273744417015462e-07,4.147246936422357e-08,1.4624420270931369e-08,1.2318351107449307e-12,0.0,6.539993006374035e-07,0.0,0.0,-1.0,20
14.0,8.64e-06,0.012261945187792698,-0.1354312853447639,0.0006201269784488046,0.00014587215503410254,0.019592305961054907,0.0,0.5368356001527095,0.0010301814849277022,0.0003650160214245623,4.914481582555036e-06,0.0,0.0018890056614294093,0.0,2.604070894566243e-07,0.0,6.547553981632796e-13,0.012261945187792698,4.647436895747615e-05,5.130096519244593e-06,5.283093092434524e-06,9.190886237880506e-11,0.0,3.430667264100113e-05,0.0,0.0,0.0,0.0,0.0,7.245294709129249e-07,4.223295239593017e-08,1.462157540293216e-08,1.2318351106958966e-12,0.0,6.67332561840017e-07,0.0,1.7317847273155522e-12,-1.0,20
15.0,8.64e-06,0.013283762507480212,-0.1477314008833109,0.000654414754799188,0.0001498845460698101,0.019592305961054907,0.0,0.5368356001527095,0.0010301814849277022,0.0003650160214245623,4.4547045569916925e-06,0.0,0.0018825969209561966,0.0,2.582630121436753e-07,0.0,4.2015001315909975e-14,0.013283762507480212,4.647437018931127e-05,5.118445835285784e-06,5.268474718628126e-06,9.162100662320105e-11,0.0,3.4287776350383366e-05,0.0,0.0,0.0,0.0,0.0,7.216899716648684e-07,4.2197263988407105e-08,1.4618373806396393e-08,1.2318351107221495e-12,0.0,6.687308704775939e-07,0.0,9.688069987148833e-13,-1.0,20
16.0,8.64e-06,0.014305579214221735,-0.16003142255712222,0.0006886812101534151,0.00015383192822377906,0.019592305961054907,0.0,0.5368356001527095,0.0010301814849277022,0.0003650160214245623,4.073607525717155e-06,0.0,0.001876194021697583,0.0,2.5554804924574363e-07,0.0,3.202522536443458e-14,0.014305579214221735,4.647437142114637e-05,5.097645018553304e-06,5.2538599803102e-06,9.053155537312376e-11,0.0,3.4266455354227076e-05,0.0,0.0,0.0,0.0,0.0,7.188542113078405e-07,4.16455833838104e-08,1.4614738317927308e-08,1.2318351107436297e-12,0.0,6.578968821083057e-07,0.0,1.435531884317469e-13,-1.0,20
17.0,8.64e-06,0.015327395317488834,-0.17233136957573,0.0007229233770812275,0.00015773630082734235,0.019592305961054907,0.0,0.5368356001527095,0.0010301814849277022,0.0003650160214245623,3.7525839007940933e-06,0.0,0.0018697975675348202,0.0,2.5684319155609846e-07,0.0,3.485732775916204e-13,0.015327395317488834,4.647437265298146e-05,5.076059998477886e-06,5.239249414667239e-06,8.941529691383622e-11,0.0,3.4242166927812314e-05,0.0,0.0,0.0,0.0,0.0,7.160214858900376e-07,4.1205710072202715e-08,1.461056564296096e-08,1.2318351107443553e-12,0.0,6.507286645833498e-07,0.0,1.0267720017068847e-13,-1.0,20
18.0,8.64e-06,0.016349210807389825,-0.18463132718695077,0.0007571375620792892,0.00016168648801965133,0.019592305961054907,0.0,0.5368356001527095,0.0010301814849277022,0.0003650160214245623,3.4784658266810083e-06,0.0,0.0018634089878246229,0.0,2.558409064930608e-07,0.0,3.789799823523538e-13,0.016349210807389825,4.647437388481662e-05,5.063038655642201e-06,5.224643699896133e-06,8.867769706285798e-11,0.0,3.4214184998061786e-05,0.0,0.0,0.0,0.0,0.0,7.131902912466693e-07,4.158046216403894e-08,1.4605714771104522e-08,1.2318351107415493e-12,0.0,6.583640390925275e-07,0.0,4.9295896929459e-13,-1.0,20
19.0,8.64e-06,0.017371025682090147,-0.19693123832281234,0.0007913190649654266,0.00016563024086858937,0.019592305961054907,0.0,0.5368356001527095,0.0010301814849277022,0.0003650160214245623,3.2416721641637087e-06,0.0,0.00185702858335088,0.0,2.5603530653335275e-07,0.0,1.4980812746881474e-13,0.017371025682090147,4.6474375116651726e-05,5.0528677229495095e-06,5.210043714367964e-06,8.797082624575365e-11,0.0,3.4181502886137345e-05,0.0,0.0,0.0,0.0,0.0,7.103642364148975e-07,4.147689588927832e-08,1.4599985528170756e-08,1.231835110741267e-12,0.0,6.57291606458562e-07,0.0,5.35031110977022e-13,-1.0,20
20.0,8.64e-06,0.018392839938521928,-0.20923112236910224,0.0008254617120812376,0.00016959314278345598,0.019592305961054907,0.0,0.5368356001527095,0.0010301814849277022,0.0003650160214245623,3.0350650575621475e-06,0.0,0.001850657617137886,0.0,2.532480446840522e-07,0.0,0.0,0.018392839938521928,4.647437634848683e-05,5.045868459837357e-06,5.19545063690503e-06,8.697299769664389e-11,0.0,3.41426471158111e-05,0.0,0.0,0.0,0.0,0.0,7.075420522405142e-07,4.161010267779908e-08,1.4593077462933165e-08,1.231835110739751e-12,0.0,6.604834112128792e-07,0.0,2.4126489118666055e-13,-1.0,20
