node_index,label,type,length,x1,x2,y1,y2,z1,z2,angle_down,angle_roll
26,Segment,Normal_root_after_emergence,0.005,-0.006667574904129317,-0.009397567872515545,-0.005218018261909271,-0.007425511051081662,-0.006318346091924388,-0.009878418279157905,-10.694893267590473,116.95281733374124
27,Apex,Normal_root_before_emergence,0.0,-0.009397567872515545,-0.009397567872515545,-0.007425511051081662,-0.007425511051081662,-0.009878418279157905,-0.009878418279157905,50.77975386118116,7.876275121364533
28,Segment,Normal_root_after_emergence,0.005,0.002126964744771379,0.0019181165366238986,-0.004571170208442227,-0.005097195437070965,-0.040549453155480766,-0.045517317876344214,1.592727495329091,115.39552937088195
29,Apex,Normal_root_before_emergence,0.0,0.0019181165366238986,0.0019181165366238986,-0.005097195437070965,-0.005097195437070965,-0.045517317876344214,-0.045517317876344214,51.62962064125344,1.6482412267967543
30,Segment,Normal_root_after_emergence,0.005,-0.009397567872515545,-0.012065299405770584,-0.007425511051081662,-0.00952561978003659,-0.009878418279157905,-0.01354894300909013,0.6102306861231017,117.7247606047004
31,Apex,Normal_root_before_emergence,0.0,-0.012065299405770584,-0.012065299405770584,-0.00952561978003659,-0.00952561978003659,-0.01354894300909013,-0.01354894300909013,39.08601069035793,1.0038617295038783
32,Segment,Normal_root_after_emergence,0.005,0.0019181165366238986,0.0016878238760161608,-0.005097195437070965,-0.005552811486089044,-0.045517317876344214,-0.0504911875274657,-0.6580610098779481,119.51334870544348
33,Apex,Normal_root_before_emergence,0.0,0.0016878238760161608,0.0016878238760161608,-0.005552811486089044,-0.005552811486089044,-0.0504911875274657,-0.0504911875274657,38.40253789851417,6.7868461562637
34,Segment,Normal_root_after_emergence,0.005,0.0016878238760161608,0.0014402527565215233,-0.005552811486089044,-0.005988717781172747,-0.0504911875274657,-0.05546599347772131,0.349238873829985,129.25861815972124
35,Apex,Normal_root_before_emergence,0.0,0.0014402527565215233,0.0014402527565215233,-0.005988717781172747,-0.005988717781172747,-0.05546599347772131,-0.05546599347772131,55.579967745230206,0.39830493125432564
36,Segment,Normal_root_after_emergence,0.005,-0.012065299405770584,-0.014737253331745723,-0.00952561978003659,-0.011525987154343881,-0.01354894300909013,-0.017271736662419976,-1.1224333409966334,-1.1376196976497954
37,Segment,Normal_root_after_emergence,0.005,0.0010286529071729964,0.002005921112362946,0.0041546498961862735,0.00815005822547596,-0.003584716123040386,-0.006427542030015239,-1.5616424077177222,1.6964235302309219
