Time_step,volume,bulk_density,POC,MAOC,DOC,PON,MAON,DON,microbial_C,microbial_N,dissolved_mineral_N,CO2
11,1.0,1.3,1.8687829988602862,7.970953430676354,0.05257725940318879,0.20343914994301437,0.7970953430676355,0.00525772594031888,0.10723535723240782,1.7248789953565935,0.004791719498654352,1.2504509538277626
12,1.0,1.3,1.8627201731023848,7.968730105972365,0.053246685409546926,0.2131360086551193,0.7968730105972366,0.005324668540954693,0.10413179672102746,1.7974506603628302,0.004529187756232442,1.3111712387946755
13,1.0,1.3,1.8569398837070297,7.966524340756398,0.053769043431465394,0.22284699418535156,0.7966524340756399,0.005376904343146539,0.10178445098918334,1.8673549239758052,0.004327548428519793,1.3709822811159231
14,1.0,1.3,1.8513888709777437,7.964331994449177,0.05417511795841761,0.23256944354888726,0.7964331994449177,0.005417511795841761,0.10000177400608838,1.9352621240366814,0.004172640478351803,1.4301022426085728
15,1.0,1.3,1.8460272671158866,7.962149976006332,0.054489990163409205,0.2423013633557944,0.7962149976006333,0.00544899901634092,0.09864244580487916,2.0016643674679107,0.00405358168515893,1.4886903209094922
16,1.0,1.3,1.8407392223608745,7.959968565054002,0.05463246130674662,0.2520369611180438,0.7959968565054002,0.005463246130674662,0.09759790134703625,2.067139695271939,0.00397347820370045,1.5470618499313402
17,1.0,1.3,1.8355236165751092,7.957787751748508,0.054696866070173135,0.26177618082875553,0.7957787751748507,0.005469686607017313,0.09677018018322865,2.1319059181640885,0.00391803024064951,1.605221585422981
18,1.0,1.3,1.8303794574439434,7.955607535926111,0.05472598055227005,0.27151897287219723,0.795560753592611,0.005472598055227006,0.09610078785290782,2.196112732587481,0.003878408979920042,1.6631862382247677
19,1.0,1.3,1.8253057662460812,7.9534279174231175,0.05473914189349194,0.28126528831230413,0.7953427917423117,0.005473914189349195,0.09555182087580931,2.259868920003927,0.0038491758980823973,1.7209753535615
20,1.0,1.3,1.8203015776673677,7.951248896075878,0.05474509154089362,0.29101507888336847,0.7951248896075878,0.005474509154089363,0.09509688052818112,2.323256701447124,0.0038269537571431257,1.7786075541876791
21,1.0,1.3,1.8153659396171298,7.9490704717207885,0.054747781107527246,0.30076829698085655,0.7949070471720788,0.005474778110752726,0.09471654414409678,2.38633988555054,0.0038096111155305787,1.836099263410457
22,1.0,1.3,1.810497913047032,7.94689264419429,0.05474899693901916,0.3105248956523517,0.794689264419429,0.005474899693901917,0.09439597745094984,2.449168841814012,0.0037957710775686345,1.8934644683687085
23,1.0,1.3,1.8056965717724152,7.944715413332867,0.05474954656147442,0.32028482858862084,0.7944715413332867,0.0054749546561474426,0.0941235800601823,2.511783763224288,0.003784518242550597,1.9507148882730607
24,1.0,1.3,1.8009610022960807,7.9425387789730495,0.05474979502094049,0.3300480501148041,0.794253877897305,0.00547497950209405,0.09389015076980127,2.574216945585066,0.0037752243123958785,2.0078602729401274
25,1.0,1.3,1.7962903036344906,7.9403627409514135,0.05474990733823337,0.33981451518172456,0.7940362740951413,0.005474990733823338,0.0936883304992373,2.636494459578854,0.003767443880664286,2.064908717576625
26,1.0,1.3,1.7916835871463468,7.938187299104578,0.05474995811180412,0.3495841793573174,0.7938187299104578,0.005474995811180413,0.09351220519892116,2.6986374205750323,0.0037608515000156478,2.1218669504383505
27,1.0,1.3,1.78713997636352,7.936012453269207,0.05474998106424022,0.35935699881817607,0.7936012453269207,0.005474998106424022,0.09335700893626467,2.76066297546356,0.003755203025704901,2.1787405803667688
28,1.0,1.3,1.7826586068242938,7.93383820328201,0.05474999143999901,0.36913293034121475,0.793383820328201,0.005474999143999901,0.09321889478310022,2.822585080994186,0.00375031130836274,2.235534303670598
29,1.0,1.3,1.7782386259088925,7.93166454897974,0.05474999613041051,0.3789119312954447,0.7931664548979741,0.0054749996130410514,0.09309475455115085,2.884415123386148,0.0037460304578210307,2.2922520744298063
30,1.0,1.3,1.773879192677264,7.929491490199198,0.05474999825073351,0.3886939596338633,0.7929491490199199,0.005474999825073352,0.09298207531750802,2.9461624144254746,0.003742245311127282,2.3488972435552973
31,1.0,1.3,1.7695794777090823,7.9273190267772256,0.0547499992092357,0.39847897388545417,0.7927319026777226,0.005474999920923571,0.0928788244685172,3.0078345900909422,0.0037388641327896236,2.40547267183594
